provider,title,description,url,thumbnail,author,price,level,category,score,durationInMinutes,skills,lastUpdated
inflearn,독하게 C를 배운 사람을 위한 선형 자료구조,C언어를 이용해 연결 리스트 기반 선형 자료구조를 제대로 구현하는 방법을 다룬 강의 입니다. 연결 리스트를 넘어 DB의 구조까지 한 번에 이해할 수 있습니다.,https://www.inflearn.com/course/독하게-선형-자료구조-c,https://cdn.inflearn.com/public/courses/332176/cover/eb8039df-f198-4555-8540-010ca1145ef7/332176-eng.jpg,널널한 개발자,"₩66,000₩46,200",초급,"알고리즘 · 자료구조, 프로그래밍 언어",,7:23,"C,vc++,알고리즘,코딩 테스트",2023/10
udemy,스프링 핵심 원리 - 기본편,"스프링 입문자가 예제를 만들어가면서 스프링의 핵심 원리를 이해하고, 스프링 기본기를 확실히 다질 수 있습니다.",https://www.inflearn.com/course/스프링-핵심-원리-기본편,https://cdn.inflearn.com/public/courses/325969/cover/2868c757-5886-4508-a140-7cb68a83dfd8/325969-eng.png,김영한,"₩88,000",초급,"백엔드, 웹 개발",5.0,12:5,"Spring,객체지향",2023/08
inflearn,"[퇴근후딴짓] 빅데이터 분석기사 실기 (작업형1,2,3)","비전공자, 입문자가 빅데이터 분석기사 실기를 빠르게 취득할 수 있도록 안내해드려요!
udemy, 판다스, 머신러닝을 다루고 있어요!",https://www.inflearn.com/course/빅데이터-분석기사-실기,https://cdn.inflearn.com/public/courses/329972/cover/dcfb28fd-48c1-4bb1-ab31-d59eac874194/329972-original.png,퇴근후딴짓,"₩99,000",입문,"자격증, 데이터 분석, 데이터 사이언스",5.0,16:11,"빅데이터분석기사,빅데이터,Python,Pandas,머신러닝",2023/11
inflearn,실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발,"실무에 가까운 예제로, 스프링 부트와 JPA를 활용해서 웹 애플리케이션을 설계하고 개발합니다. 이 과정을 통해 스프링 부트와 JPA를 실무에서 어떻게 활용해야 하는지 이해할 수 있습니다.",https://www.inflearn.com/course/스프링부트-JPA-활용-1,https://cdn.inflearn.com/public/courses/324119/course_cover/07c45106-3cfa-4dd6-93ed-a6449591831c/%E1%84%80%E1%85%B3%E1%84%85%E1%85%AE%E1%86%B8%205%20%E1%84%87%E1%85%A9%E1%86%A8%E1%84%89%E1%85%A1%204.png,김영한,"₩88,000",초급,"백엔드, 웹 개발",5.0,7:44,"Java,Spring,웹앱,Spring Boot,JPA",2023/05
udemy,모든 개발자를 위한 HTTP 웹 기본 지식,실무에 꼭 필요한 HTTP 핵심 기능과 올바른 HTTP API 설계 방법을 학습합니다.,https://www.inflearn.com/course/http-웹-네트워크,https://cdn.inflearn.com/public/courses/326277/cover/52d4f143-b470-4109-96cb-a0b146fb42ed/http.png,김영한,"₩44,000",초급,"웹 개발, 네트워크, 교양 · 기타",5.0,5:40,네트워크,2023/07
inflearn,자바 ORM 표준 JPA 프로그래밍 - 기본편,"JPA를 처음 접하거나, 실무에서 JPA를 사용하지만 기본 이론이 부족하신 분들이
udemy,https://www.inflearn.com/course/ORM-JPA-Basic,https://cdn.inflearn.com/public/courses/324109/course_cover/161476f8-f0b7-4b04-b293-ce648c2ea445/kyh_jsp.png,김영한,"₩121,000",초급,"백엔드, 웹 개발, 데이터베이스",5.0,16:3,"Java,JPA",2023/01
inflearn,스프링 MVC 1편 - 백엔드 웹 개발 핵심 기술,"웹 애플리케이션을 개발할 때 필요한 모든 웹 기술을 기초부터 이해하고, 완성할 수 있습니다.
udemy, 더 깊이있는 백엔드 개발자로 성장할 수 있습니다.",https://www.inflearn.com/course/스프링-mvc-1,https://cdn.inflearn.com/public/courses/326674/cover/4657d793-56a4-42f3-9d44-dc88d125a49e,김영한,"₩99,000",초급,"백엔드, 웹 개발",5.0,15:22,"MVC,Spring",2023/01
inflearn,스프링 MVC 2편 - 백엔드 웹 개발 활용 기술,"웹 애플리케이션 개발에 필요한 모든 웹 기술을 기초부터 이해하고, 완성할 수 있습니다.
udemy,https://www.inflearn.com/course/스프링-mvc-2,https://cdn.inflearn.com/public/courses/327260/cover/a51a5154-c375-4210-9fb1-0b716fd4ac73/327260-eng.png,김영한,"₩121,000",초급,"백엔드, 웹 개발",5.0,21:5,"MVC,Spring",2022/12
inflearn,실전! 스프링 부트와 JPA 활용2 - API 개발과 성능 최적화,스프링 부트와 JPA를 활용해서 API를 개발합니다. 그리고 JPA 극한의 성능 최적화 방법을 학습할 수 있습니다.,https://www.inflearn.com/course/스프링부트-JPA-API개발-성능최적화,https://cdn.inflearn.com/public/courses/324214/course_cover/8ce5e6b5-6b31-4659-a0cd-eec20efc13f4/kyh_JPA_Spring2.png,김영한,"₩88,000",중급이상,"백엔드, 웹 개발",5.0,6:35,"Java,Spring,Spring Boot,JPA",2023/06
udemy,스프링 핵심 원리 - 고급편,"스프링의 핵심 원리와 고급 기술들을 깊이있게 학습하고, 스프링을 자신있게 사용할 수 있습니다.",https://www.inflearn.com/course/스프링-핵심-원리-고급편,https://cdn.inflearn.com/public/courses/327901/cover/d0f80fce-6877-4058-91bb-dc1ef57339a2/327901-eng.png,김영한,"₩121,000",중급이상,"백엔드, 웹 개발",5.0,16:44,"Spring,디자인 패턴",2023/01
